,Over_All,ball_skills,physical,defence,GK,mental,shooting,passing,hight,wight,age,value
Lionel Messi,93,96.0,80.85714285714290,27.5,10.8,77.0,86.875,89.0,170,72,34,78000000
Robert Lewandowski,92,86.5,80.28571428571430,38.5,10.2,81.16666666666670,88.125,75.33333333333330,185,81,33,119500000
Kylian Mbappé,91,92.0,87.42857142857140,30.0,8.4,75.83333333333330,80.5,78.0,182,73,22,194000000
Jan Oblak,91,21.0,59.42857142857140,19.5,87.4,47.5,18.5,32.0,188,87,28,112000000
Kevin De Bruyne,91,89.5,76.42857142857140,66.5,11.2,84.0,81.5,93.66666666666670,181,70,30,125500000
Neymar Jr,91,95.0,80.0,33.5,11.8,76.33333333333330,82.625,84.0,175,68,29,129000000
Cristiano Ronaldo,91,88.0,83.14285714285710,28.0,11.6,75.33333333333330,88.875,81.33333333333330,187,83,36,45000000
Harry Kane,90,84.0,75.28571428571430,43.0,10.8,81.33333333333330,85.5,83.66666666666670,188,89,28,129500000
Gianluigi Donnarumma,89,29.0,55.0,17.0,85.6,47.166666666666700,19.875,27.333333333333300,196,90,22,119500000
Alisson,89,28.5,48.857142857142900,17.0,87.0,44.833333333333300,24.875,35.333333333333300,191,91,28,82000000
Joshua Kimmich,89,84.0,78.71428571428570,85.0,12.0,85.16666666666670,70.125,89.33333333333330,177,75,26,108000000
Ederson,89,31.5,60.0,22.0,87.6,52.166666666666700,27.5,49.0,188,86,28,94000000
Sadio Mané,89,89.0,86.85714285714290,42.0,11.2,76.5,77.5,77.66666666666670,175,69,29,101000000
Virgil van Dijk,89,73.0,74.14285714285710,92.0,11.6,77.0,65.125,72.66666666666670,193,92,30,86000000
Casemiro,89,74.0,74.57142857142860,86.5,13.4,84.0,72.0,75.33333333333330,185,84,29,88000000
Thibaut Courtois,89,18.0,53.857142857142900,19.0,84.2,40.833333333333300,22.25,27.333333333333300,199,96,29,85500000
Erling Haaland,88,81.5,81.71428571428570,43.5,10.4,76.66666666666670,80.875,58.333333333333300,194,94,21,137500000
Bruno Fernandes,88,85.0,77.57142857142860,72.5,12.6,83.16666666666670,84.625,88.66666666666670,179,69,27,107500000
Raheem Sterling,88,86.5,81.42857142857140,50.0,12.6,71.66666666666670,72.125,77.0,170,69,26,107500000
Keylor Navas,88,27.0,59.42857142857140,21.0,84.8,48.333333333333300,20.875,29.333333333333300,185,80,34,15500000
Romelu Lukaku,88,80.0,74.57142857142860,35.5,10.8,73.16666666666670,81.75,73.33333333333330,191,94,28,93500000
Luis Suárez,88,84.5,75.71428571428570,43.5,30.6,80.33333333333330,86.875,80.0,182,83,34,44500000
Sergio Ramos,88,74.0,76.85714285714290,86.5,9.2,83.5,76.375,77.0,184,82,35,24000000
Rúben Dias,87,69.0,70.14285714285710,89.5,9.4,72.5,47.875,69.66666666666670,187,82,24,102500000
Jadon Sancho,87,91.0,77.14285714285710,35.5,10.4,70.66666666666670,69.125,79.66666666666670,180,76,21,116500000
Trent Alexander-Arnold,87,82.0,74.28571428571430,81.5,11.2,80.5,71.875,89.33333333333330,180,69,22,114000000
Frenkie de Jong,87,88.5,81.28571428571430,76.0,9.8,83.0,67.625,85.33333333333330,180,74,24,119500000
Andrew Robertson,87,82.0,77.42857142857140,83.5,10.0,82.16666666666670,62.875,82.0,178,64,27,83500000
Paulo Dybala,87,91.5,80.0,36.5,5.2,69.5,83.375,82.66666666666670,177,75,27,93000000
Marquinhos,87,74.0,78.71428571428570,89.0,9.4,80.66666666666670,53.25,79.0,183,75,27,90500000
Marco Verratti,87,91.5,72.85714285714290,80.0,12.8,87.0,64.0,87.0,165,60,28,79500000
Ciro Immobile,87,81.5,81.0,33.5,9.4,74.66666666666670,79.0,62.666666666666700,185,85,31,67500000
Thomas Müller,87,80.5,72.28571428571430,52.0,10.4,79.83333333333330,77.875,83.0,185,76,32,66000000
Wojciech Szczęsny,87,16.5,55.0,16.5,83.2,44.0,19.875,26.666666666666700,195,90,31,42000000
Ángel Di María,87,87.5,78.42857142857140,48.0,10.2,76.16666666666670,78.625,84.66666666666670,180,69,33,49500000
Luka Modrić,87,87.5,76.71428571428570,72.5,10.4,81.66666666666670,76.125,88.66666666666670,172,66,36,32000000
Hugo Lloris,87,22.0,55.714285714285700,19.5,82.0,44.666666666666700,19.375,37.666666666666700,188,82,34,13500000
Sergio Agüero,87,87.0,75.57142857142860,29.5,11.8,73.33333333333330,82.5,71.33333333333330,173,70,33,51000000
Milan Škriniar,86,69.5,74.14285714285710,89.0,11.0,69.83333333333330,45.375,53.666666666666700,188,80,26,74000000
Rodri,86,80.0,70.42857142857140,83.5,9.8,79.66666666666670,65.625,77.0,191,82,25,81000000
Marcos Llorente,86,83.0,80.71428571428570,79.5,10.2,84.5,71.25,81.0,184,74,26,88000000
